가게이름,리뷰내용,리뷰별점
유즈라멘 만리동점,너무 맛있다 흐흑 서비스도 좋고 맛도 정말 최고예요ㅜㅜ 유자향 너무 좋아요,5
유즈라멘 만리동점,"차슈,면발,육수,달걀,루꼴라까지 어느하나 부족한 맛이 없다. 유자향이 육수와 정말 잘 어울린다. 웨이팅만 아니라면 매일가고싶은 곳!",5
유즈라멘 만리동점,자꾸 생각나 ...,5
이조식당,"너무 많아서 남길 정도의 6000원 보리밥.
그리고 서비스라는 말로는 표현할 수 없는 정성.",5
이조식당,"고물가 시대에 서울에서 이정도가 6천원?
심지어 맛도 좋음 거기다 원산지가 전부 국내산임
남는게 있으실 지 걱정될 정도.
거기다가 계좌이체 요구 이런 것도 일절 없고 사장님도 너무 친절하심.
서울역 올 일 있을 때 재방문 의사 100%",5
이조식당,친절하시고 양도 많습니다 서울에서 이 가격에 팔기 쉽지않으실텐데 음식도 맛있어요,5
이조식당,"강력 추천. 우선 가격 저렴.
그런데 맛도 있고 푸짐함.
양이 다른 곳의 거의 곱배기 수준.
국수가 정말 맛있는데 육수가 멸치를 사용했는데도 멸치의 비린내는 거의 없고 가벼운 육수의 맛이 납니다.
혹시 서울역 근처의 한끼를 생각하시다면 추천 드립니다.",5
이조식당,"남자친구랑 잔치국수, 비빔밥 하나씩 시켜먹었는데 여태 같이 밥먹으면서 그렇게 행복한 표정 짓는걸 처음봄.. 많이 못먹는데 1.8인분 정도 되는 양을 둘이서 하나씩 다먹었다&hellip; 사장님도 친절하시고 음식도 너무 맛있었다. 다음에 서울역오면 무조건 여기 오고싶음&hellip;

+ 비빔밥 드실때 양념장 2스푼-3스푼 까지만 넣으세요!!!! 싱거울거 같다고 더 넣어 드시면 진짜 후회함 진짜 딱 저정도만 넣어야 고소하며 맛있습니다",5
이조식당,맛도 최고 사장님 친절 최고,5
이조식당,사장님도 너무 친절하시고 양도 많고 요즘같은 고물가시대애 가성비 끝판왕이여 진짜 개강추,5
이조식당,"맛 가성비 모두 최고입니다. 가격이 저렴하다고 해서 맛이 별로일 거라 오해하시면 안됩니다. 
주의사항) 사진은 일반입니다. 곱배기 양이 생각보다 많으니 여성분들은 주의하세요.",5
이조식당,참 뭐랄까&hellip;그냥 콩나물비빔밥인데 참 맛있어요. 콩나물이 하나하나 다 살아있고 아삭아삭한 맛이 있습니다. 사장님께서 콩나물에 대한 자부심이 있는 거 같아요ㅋㅋ 일단 요즘같은 물가에 6천원+어마무시한 양이 말도 안 됩니다. 재료의 싱싱함으로 승부하는 곳이라고 생각하면 될 거 같아요. 분위기는 걍 노포인데 전 밥이 맛있으면 상관없어서 다음에 근처 들를일있으면 무조건 또 갈겁니다. 그리고 전 오늘 보리밥이 아니라 흰쌀밥이었어요.,5
이조식당,"믿기지 않는 가격에 믿기지 않는 양
너무 배불러영ㅎㅎㅎ
사장님도 짱 친절하세요",5
이조식당,전 직장 근처의 맛집. 을지로3가 근처 점심시간 최애 식당입니다~,4
이조식당,"친절하고, 푸짐하게 나오는 음식에 놀라게 됩니다.",5
이조식당,정말 맛있습니다. 요즘 자주체했는데 콩나물비빔밥 한그릇 다먹고도 속이 편안합니다. 사장님도 너무친절하세요,5
이조식당,할머니 최고에용..&hearts; 추천합니당,5
이조식당,최고~,5
이조식당,2번째 방문인데 또 먹어도 맛있네요!! 주기적으로 서울역 갈 일 만들어라도 이조식당 가야합니다,5
이조식당,값싸고 든든하면서도 맛이 좋습니다. 오래도록 번창하셨으면 좋겠네요^^,5
이조식당,"친절도는 말할 것도 없고 김치도 국산이다. 직접 담그신다고 한다.
가격이 옛날에 비해 천원 오르긴 했는데 물가가 오른 걸 감안하고, 재료가 더욱 풍성해진 걸 생각하면 문제가 없는 부분이다.",5
이조식당,"주인이 바뀌신것 같다 약간 세팅이 변했다
혼밥하기 아주 좋다 싸다고 무시하지 말자
김치 국 있을거 다있고 배부르게 기분좋게 먹고올수 있다
아주머니가 친절하시다",4
이조식당,"친절, 맛 모두 잡은 보리비빔밥&amp;잔치국수 맛집.
사장님 너무 친절 하심.
국내산 멸치를  진하게 우려낸 육수는 비빔밥을 주문해도 맛을 볼 수 있음.
부추와 콩나물이 잔뜩 들어간 투박한 비빔밥은 말 그대로 고향의 맛.",4
이조식당,"친절 왕
가성비최고",5
이조식당,"사람이 없을 시간, 아침 일찍 방문을 하게 됐습니다. 콩국수를 먹어보고 싶었는데 아직 시작한 때가 아니라 비빔밥과 잔치국수를 먹게 됐어요. 그런데 이게 웬걸, 비빔밥은 먹을 수록 고소한 향이 입안 가득 퍼지면서 점점 맛있어지더라구요. 잔치국수도 비빔장을 조금 섞어 먹었는데 깔끔하고 시원한 맛이 났습니다. 사장님과 담소도 조금 나누고, 기분 좋은 하루를 시작하게 됐네요.",5
이조식당,마음이 따뜻해지는 곳,5
이조식당,콩나물비빔밥~친절하시고 맛있게 먹었습니다,4
이조식당,"조미료 안들어간 건강한 맛! 야채도 듬뿍듬뿍 주시고 국수 육수랑 양념장도 맛있네요.
맛도 있지만 사장님들 너무 친절하셔서 사람이 많은거 같아요. 너무 따뜻하게 응대해주셔서 감사합니다. 다음에 꼭 또 갈게요( ᐕ)੭

비빔밥 잔치국수 다 4000원이고 추가시 1000원이에요.",5
이조식당,사천원의 행복 ^^,3
이조식당,가성비 좋은 혜자 맛집,5
이조식당,"이런 착한가게는 영원해야 합니다. 깔끔한 맛, 착한 가격, 친절까지^^",5
이조식당,"할머니가 운영할 때가 정말 맛있었다.

별 하나도 주기 싫고 아깝다.
단순히 가격이 싸서 가던 곳이 아니었다. 맛있어서 가는 곳이었고 추가적으로 가격도 착했던 것이다.
삼!천원이 중요한게 아니라 맛!있는데 삼천원 이었던 것이지.

그런데 할머니가 몸이 아파서인지 그만두면서 아줌마에게 넘겼는데 한동안은 콩나물 비빔밥에 부추만 추가하더니.. (이때도 부추 안넣고 먹었다. 넣으면 맛없어져서)

코로나로 지금은 폐업한 찜질방을 가는 일이 없어져서 정말 오랜만에 갔더니만
다른 채소를 추가하고 가격은 천원을 올렸다.

결론적으로 맛이 더럽게 없어졌다.
맛의 밸런스가 완전히 깨졌고 이런 맛은 내가 집에서 대충 만들어도 더 맛있게 만들 자신이 있다.
어느 동네 김밥천국에 가서 비빕밥 먹어도 이것보다 맛있다.

양념장의 맛이 정말 중요한데 할머니가 운영할때에 비해서 양념장 자체도 맛이 없어졌다.
무슨 생각이지? 그냥 싸면 땡? 친절하면 땡? 채소 몇가지 더 넣으면 더 맛있는게 되나?
맛있는게 최우선이 되어야하는데... 이게 무슨 짓인지

그 할머니가 오랜시간 정말 단순한 재료지만 맛집으로 만들어놨는데 이어받아서 인수하고 몇달사이에 자기가 더 잘난것마냥 맛을 완전히 배려놨다.

채소 더 넣어서 영양가는 좀 더 있겠지. 그런데 영양있게 하려면 맛도 과거보다 못하지 않은 수준으로 밸런스를 잡고 유지는 시켰어야지.

예전 할머니가 운영하시던 그맛이라면 오천원, 육천원이어도 곱빼기로 사먹는다.

그런데 채소 몇가지 더 넣고 양념장 맛은 제대로 신경 안쓰는 집에서 대충 만드는 것보다 못한 맛으로 가격만 올려놨으니 앞으로는 그냥 맛 때문이 아니라 싸면 아무거나 입에 쳐넣는 뜨내기들이나 남게 될것이다.

그리고 그 뜨내기들은 근처에 더 싸게 한끼 때울 곳이 생기면 그곳으로 바로 옮겨가겠지.
진짜 너무 한심하다.

이곳은 과거에 유명했던 곳과는 완전히 다른 맛의 가게이니 이곳에 갈바엔 근처 김밥천국 가는 것을 추천한다. 돈 천원 더주고 김밥천국 비빕밥 사먹어라. 그게 이 가게 마인드 대로면 채소가 더 들어가서 더 영양가 있으면서 실제로 맛도 훨씬 나으니까...

예전 할머니가 하시던때 먹어본 사람이 지금 것이 맛있다고 하는 사람이 있다면 그사람은 그냥 미각이 뭘 먹어도 맛있는 사람이고... 양념장부터가 배렸는데 무슨...

인수해서 간판, 메뉴 그대로 유지하면서 손님들도 이어받았는데 맛과 가격은 바꿔놨다.
이게 현실이고 팩트다.",1
이조식당,"조미료 안들어간 건강한 맛! 야채도 듬뿍듬뿍 주시고 국수 육수랑 양념장도 맛있네요.
맛도 있지만 사장님들 너무 친절하셔서 사람이 많은거 같아요. 너무 따뜻하게 응대해주셔서 감사합니다. 다음에 꼭 또 갈게요( ᐕ)੭

비빔밥 잔치국수 다 4000원이고 추가시 1000원이에요.",5
이조식당,싸고 맛있어요. 친구랑 같이 가서 잔치국수랑 비빔밥 시켰는데 많이 먹을것 같다고 곱빼기로 주셨어요 ㅎㅎ,5
이조식당,"친절한 주인분들
가격도 착하고 맛도 좋네요
간단하게 한끼하기 좋음
단,현금결재임",5
이조식당,오천원의 행복,5
이조식당,"본인은 잔치국수 안 즐겨먹는 타입임. 이 날도 우연히 차 세워두고 통화하다가 마침 밥 때 길래 그냥 들어가서 콩국수를 주문했음. 같이 간 친구는 잔치국수를 시킴

식사를 기다리며 친구한테 말했음

&lsquo; 잔치국수는 뭔가 돈주고 사먹기 아깝지 않냐? &lsquo;

시간이 흘러 내가 주문한 콩국수가 먼저 나왔음
맛은 괜찮았으나 면이 너무 소면이라 내 취향에 좀 아쉬웠음

여튼 내 콩국수를 거의 다 먹은 상태에서 
친구의 잔치국수를 한입 뺏어먹음

그 순간 

진짜 눈이 번!!!!!쩍!!! 하고 뜨였음

와 이게 뭐야?
그냥 멸치 국물이 너무 진하디 진해서,
국물이 아닌 &lsquo;면만&rsquo; 먹었는데도
멸치육수의 진한 맛이 쫙 올라옴

놀라움에 나도 모르게 

&lsquo;와!!! 이거 왜이렇게 맛있어?!&rsquo; 라고 크게 말함 ㅋㅋㅋ

주방에 계신 사모님께서 뿌듯하셨는지 나와서 자랑을 하셨음. 사용하시는 멸치가 뭔 성인남자 손가락만한 대멸치임. 말씀들어보니 이 대멸치를 한박스씩 넣어서 육수를 낸다고 함. 

역시&hellip; 맛은 재료에 대한 집착에서 나온다는 걸 다시금 확인함 &hellip; 

이미 콩국수를 다 비웠지만 이 기세를 몰아서 잔치국수추가주문 후 완국수 끝내버림

한마디로 정리하자면,

&lsquo;잔치국수 대한민국 1등&rsquo; 

근처에 살지 않아서 자주 못가긴하지만
앞으로의 내 남은 인생에 충정로 서대문 근처를 올 일이 있다면 여기서 한끼를 해결하기로 마음먹음 

다른 후기보니 현금결제밖에 안된다는 불평이 있던데,

솔직히 난 그냥 음식맛에 감동해서 자발적으로 계좌이체 드리겠다고 먼저 얘기했음

근데 내가  계좌준다하니깐 걍 카드로 해도 된다고하셧음 

하지만 난 맛에 감동한 집은 현금결제를 한다는 나만의 원칙이 있기에&hellip;",5
이조식당,사장님이 정이 많으시고 따뜻하세요. 잔치국수는 국물이 깊고 맛있습니다. 사장님과 단골손님들의 정감 가는 대화에 기분도 좋아졌어요.,5
이조식당,"사장님의 따뜻함에 반하고, 비빔밥의 맛에 반하고
간이 짜지도 싱겁지도 않게 삼삼히 먹을 수 있고, 안에 채소가 많이 들어서 건강을 생각하는 부분에서도 매우 만족했습니다 ^^

이쪽이 지대가 넓어서 걸을 일이 많으실텐데, 든든히 먹고 활동 할 수 있었어요~

외국인들 오면 이게 한국의 정! 이다, 비빔밥이다 하고 소개해 주고 싶네요~

5천원 맛있음!
양 많음!
정!",5
이조식당,"맛과 가격, 친절함까지 정말 훌륭한 식당이라고 생각합니다.",5
이조식당,"비빔밥 맛납니다. 서울 한복판에서 가능할 것 같지 않은 가격이구요. 사장님은 아마 개별로 각 가정집에서 나물 다 해서 비빔밥 만들면 힘들테니 그거 감안해 이 가격에 대량생산으로 밥을 제공하시는 것 같아요, 이 가격에.
느네 집에서 못 만드는 맛을 이 식당이 해 주신다고요, 적은 값에. 그게 싫으면 너히들도 집에서 나물 일일히 간 맞춰서 처 만들어 먹든가. 
여기서 호텔 레스토랑급 서비스를 바라면 그거 정신병자죠? 부족함 없이 정도 해주시는게 당연한겁니다. 꼭 나아누눈!!!! 써어비스를 받을거야아아아아암!! 하시는 분은 근처 조선호텔 가시기 바랍니다. 조선호텔 서비스 fee는 비싸서 못 내겠고 오천원짜리 가성비 밥집에서 좀 나대야 나를 인정받을 수 있다... 세상에 ♪♬~ 얼마나 그지같은 환경에 살고 계신건지? 여기서 난동부리면 느그들이 밥 한끼 먹을 수 있는 공간이 없어져요. 좀 나대지 마.",5
이조식당,"주인이 바뀌신것 같다 약간 세팅이 변했다
혼밥하기 아주 좋다 싸다고 무시하지 말자
김치 국 있을거 다있고 배부르게 기분좋게 먹고올수 있다
아주머니가 친절하시다",4
이조식당,"친절도는 말할 것도 없고 김치도 국산이다. 직접 담그신다고 한다.
가격이 옛날에 비해 천원 오르긴 했는데 물가가 오른 걸 감안하고, 재료가 더욱 풍성해진 걸 생각하면 문제가 없는 부분이다.",5
이조식당,값싸고 든든하면서도 맛이 좋습니다. 오래도록 번창하셨으면 좋겠네요^^,5
이조식당,"정말 가성비도 좋고 맛도 양도 최고예요!
사장님도 넘 친잘 하세요!",5
이조식당,이 가격에 이맛이라 5점이 아니라 맛만봐도 5점이에요. 밥도 비빔밥에 딱맞은 밥이고 맛도 아주 슴슴하니 괜찮고 육수도 최고..,5
이조식당,콩나물 비빔밥 진짜 너무 맛있어요! 국물도 맛있구요..,5
이조식당,JMT,5
이조식당,우연히 들어왔는데 정말 맛있네요  콩나물비빔밥 잔치국수 둘 다 맛있습니다,5
이조식당,"음식이 기본에 충실해서 맛있는 맛이여
양, 맛, 가격까지 다 매우 훌륭해요
자꾸 자꾸 생각나는 맛
사장님도 굉장히 친절하셔서 대만족",5
이조식당,"잔치국수 - 간단하게 먹으러 들어갔다가 호되게 혼났습니다. 첫번째 사진이 나온직후고 두번째가 배가 다 불렀을때, 세번째가 배터지기 직전입니다. 면이 새끼를 쳐요. 맛, 가격 훌륭했고 사장님도 매우 친절하셨습니다.",4
이조식당,친절하시고 맛있고 양 적당하고 가격은 6000원밖에 안한다는게 우리집앞에 있지 않은거 빼고 다 좋아요,5
이조식당,신나게 먹느라 사진을 미처 못찍었네요. 국물이 참 맛있습니다. 국수 한그릇에 입도 즐겁고 배는 든든하고 마음까지 훈훈해지는 곳입니다. 조용해서 식사에 온전히 집중할수 있어 더 행복했네요. 또 먹으러가겠습니다. 늘 건강하세요!,5
이조식당,"6000원에 배 찢어짐 1.7인분임 ㄹㅇ
포장시 1000원 추가고, 빨리나오고, 비빔은 간장 베이스 소스임
근처살면 여기 맨날 갈 듯",5
이조식당,맛있고 가성비 좋아요. 사장님도 친절하세요. 잔치국수랑 콩나물밥 말고도 콩국수랑 보리밥도 맛있습니다.,5
이조식당,"6천원에 이정도 양과 맛이라니... 당황스러울 정도네요
사장님도 너무 친절하시고 잘 먹고 갑니다",5
이조식당,할머니 최고에용..&hearts; 추천합니당,5
이조식당,최고~,5
이조식당,2번째 방문인데 또 먹어도 맛있네요!! 주기적으로 서울역 갈 일 만들어라도 이조식당 가야합니다,5
이조식당,비빔밥 하나 국수하나 시켜서 둘이 나눠먹었는데 너무 맛있게 먹었어요! 잘먹었습니다. 사장님께서도 너무 친절하셔서 감사했습니다,5
이조식당,콩나물비빔밥~친절하시고 맛있게 먹었습니다,4
이조식당,4천원 최고의 가성비!! 사장님이모님 너무 친절하시고 음식도 신선한 재료인게 느껴지고 무엇보다 맛있습니다. 번창하세요!,5
이조식당,사천원의 행복 ^^,3
이조식당,"음식이 기본에 충실해서 맛있는 맛이여
양, 맛, 가격까지 다 매우 훌륭해요
자꾸 자꾸 생각나는 맛
사장님도 굉장히 친절하셔서 대만족",5
이조식당,우연히 들어왔는데 정말 맛있네요  콩나물비빔밥 잔치국수 둘 다 맛있습니다,5
이조식당,JMT,5
이조식당,"친절하고, 푸짐하게 나오는 음식에 놀라게 됩니다.",5
이조식당,이 가격에 이맛이라 5점이 아니라 맛만봐도 5점이에요. 밥도 비빔밥에 딱맞은 밥이고 맛도 아주 슴슴하니 괜찮고 육수도 최고..,5
이조식당,"정말 가성비도 좋고 맛도 양도 최고예요!
사장님도 넘 친잘 하세요!",5
이조식당,마음이 따뜻해지는 곳,5
이조식당,비빔밥 하나 국수하나 시켜서 둘이 나눠먹었는데 너무 맛있게 먹었어요! 잘먹었습니다. 사장님께서도 너무 친절하셔서 감사했습니다,5
이조식당,"사람이 없을 시간, 아침 일찍 방문을 하게 됐습니다. 콩국수를 먹어보고 싶었는데 아직 시작한 때가 아니라 비빔밥과 잔치국수를 먹게 됐어요. 그런데 이게 웬걸, 비빔밥은 먹을 수록 고소한 향이 입안 가득 퍼지면서 점점 맛있어지더라구요. 잔치국수도 비빔장을 조금 섞어 먹었는데 깔끔하고 시원한 맛이 났습니다. 사장님과 담소도 조금 나누고, 기분 좋은 하루를 시작하게 됐네요.",5
이조식당,정말 맛있습니다. 요즘 자주체했는데 콩나물비빔밥 한그릇 다먹고도 속이 편안합니다. 사장님도 너무친절하세요,5
이조식당,"잔치국수 - 간단하게 먹으러 들어갔다가 호되게 혼났습니다. 첫번째 사진이 나온직후고 두번째가 배가 다 불렀을때, 세번째가 배터지기 직전입니다. 면이 새끼를 쳐요. 맛, 가격 훌륭했고 사장님도 매우 친절하셨습니다.",4
이조식당,"맛 가성비 모두 최고입니다. 가격이 저렴하다고 해서 맛이 별로일 거라 오해하시면 안됩니다. 
주의사항) 사진은 일반입니다. 곱배기 양이 생각보다 많으니 여성분들은 주의하세요.",5
이조식당,맛도 최고 사장님 친절 최고,5
이조식당,친절하시고 양도 많습니다 서울에서 이 가격에 팔기 쉽지않으실텐데 음식도 맛있어요,5
이조식당,4천원 최고의 가성비!! 사장님이모님 너무 친절하시고 음식도 신선한 재료인게 느껴지고 무엇보다 맛있습니다. 번창하세요!,5
이조식당,"남자친구랑 잔치국수, 비빔밥 하나씩 시켜먹었는데 여태 같이 밥먹으면서 그렇게 행복한 표정 짓는걸 처음봄.. 많이 못먹는데 1.8인분 정도 되는 양을 둘이서 하나씩 다먹었다&hellip; 사장님도 친절하시고 음식도 너무 맛있었다. 다음에 서울역오면 무조건 여기 오고싶음&hellip;

+ 비빔밥 드실때 양념장 2스푼-3스푼 까지만 넣으세요!!!! 싱거울거 같다고 더 넣어 드시면 진짜 후회함 진짜 딱 저정도만 넣어야 고소하며 맛있습니다",5
이조식당,"고물가 시대에 서울에서 이정도가 6천원?
심지어 맛도 좋음 거기다 원산지가 전부 국내산임
남는게 있으실 지 걱정될 정도.
거기다가 계좌이체 요구 이런 것도 일절 없고 사장님도 너무 친절하심.
서울역 올 일 있을 때 재방문 의사 100%",5
이조식당,"강력 추천. 우선 가격 저렴.
그런데 맛도 있고 푸짐함.
양이 다른 곳의 거의 곱배기 수준.
국수가 정말 맛있는데 육수가 멸치를 사용했는데도 멸치의 비린내는 거의 없고 가벼운 육수의 맛이 납니다.
혹시 서울역 근처의 한끼를 생각하시다면 추천 드립니다.",5
이조식당,"너무 많아서 남길 정도의 6000원 보리밥.
그리고 서비스라는 말로는 표현할 수 없는 정성.",5
이조식당,참 뭐랄까&hellip;그냥 콩나물비빔밥인데 참 맛있어요. 콩나물이 하나하나 다 살아있고 아삭아삭한 맛이 있습니다. 사장님께서 콩나물에 대한 자부심이 있는 거 같아요ㅋㅋ 일단 요즘같은 물가에 6천원+어마무시한 양이 말도 안 됩니다. 재료의 싱싱함으로 승부하는 곳이라고 생각하면 될 거 같아요. 분위기는 걍 노포인데 전 밥이 맛있으면 상관없어서 다음에 근처 들를일있으면 무조건 또 갈겁니다. 그리고 전 오늘 보리밥이 아니라 흰쌀밥이었어요.,5
이조식당,"친절, 맛 모두 잡은 보리비빔밥&amp;잔치국수 맛집.
사장님 너무 친절 하심.
국내산 멸치를  진하게 우려낸 육수는 비빔밥을 주문해도 맛을 볼 수 있음.
부추와 콩나물이 잔뜩 들어간 투박한 비빔밥은 말 그대로 고향의 맛.",4
이조식당,전 직장 근처의 맛집. 을지로3가 근처 점심시간 최애 식당입니다~,4
이조식당,사장님도 너무 친절하시고 양도 많고 요즘같은 고물가시대애 가성비 끝판왕이여 진짜 개강추,5
이조식당,친절하시고 맛있고 양 적당하고 가격은 6000원밖에 안한다는게 우리집앞에 있지 않은거 빼고 다 좋아요,5
이조식당,콩나물 비빔밥 진짜 너무 맛있어요! 국물도 맛있구요..,5
이조식당,"6000원에 배 찢어짐 1.7인분임 ㄹㅇ
포장시 1000원 추가고, 빨리나오고, 비빔은 간장 베이스 소스임
근처살면 여기 맨날 갈 듯",5
이조식당,신나게 먹느라 사진을 미처 못찍었네요. 국물이 참 맛있습니다. 국수 한그릇에 입도 즐겁고 배는 든든하고 마음까지 훈훈해지는 곳입니다. 조용해서 식사에 온전히 집중할수 있어 더 행복했네요. 또 먹으러가겠습니다. 늘 건강하세요!,5
이조식당,"친절한 주인분들
가격도 착하고 맛도 좋네요
간단하게 한끼하기 좋음
단,현금결재임",5
이조식당,"비빔밥 맛납니다. 서울 한복판에서 가능할 것 같지 않은 가격이구요. 사장님은 아마 개별로 각 가정집에서 나물 다 해서 비빔밥 만들면 힘들테니 그거 감안해 이 가격에 대량생산으로 밥을 제공하시는 것 같아요, 이 가격에.
느네 집에서 못 만드는 맛을 이 식당이 해 주신다고요, 적은 값에. 그게 싫으면 너히들도 집에서 나물 일일히 간 맞춰서 처 만들어 먹든가. 
여기서 호텔 레스토랑급 서비스를 바라면 그거 정신병자죠? 부족함 없이 정도 해주시는게 당연한겁니다. 꼭 나아누눈!!!! 써어비스를 받을거야아아아아암!! 하시는 분은 근처 조선호텔 가시기 바랍니다. 조선호텔 서비스 fee는 비싸서 못 내겠고 오천원짜리 가성비 밥집에서 좀 나대야 나를 인정받을 수 있다... 세상에 ♪♬~ 얼마나 그지같은 환경에 살고 계신건지? 여기서 난동부리면 느그들이 밥 한끼 먹을 수 있는 공간이 없어져요. 좀 나대지 마.",5
이조식당,싸고 맛있어요. 친구랑 같이 가서 잔치국수랑 비빔밥 시켰는데 많이 먹을것 같다고 곱빼기로 주셨어요 ㅎㅎ,5
이조식당,"할머니가 운영할 때가 정말 맛있었다.

별 하나도 주기 싫고 아깝다.
단순히 가격이 싸서 가던 곳이 아니었다. 맛있어서 가는 곳이었고 추가적으로 가격도 착했던 것이다.
삼!천원이 중요한게 아니라 맛!있는데 삼천원 이었던 것이지.

그런데 할머니가 몸이 아파서인지 그만두면서 아줌마에게 넘겼는데 한동안은 콩나물 비빔밥에 부추만 추가하더니.. (이때도 부추 안넣고 먹었다. 넣으면 맛없어져서)

코로나로 지금은 폐업한 찜질방을 가는 일이 없어져서 정말 오랜만에 갔더니만
다른 채소를 추가하고 가격은 천원을 올렸다.

결론적으로 맛이 더럽게 없어졌다.
맛의 밸런스가 완전히 깨졌고 이런 맛은 내가 집에서 대충 만들어도 더 맛있게 만들 자신이 있다.
어느 동네 김밥천국에 가서 비빕밥 먹어도 이것보다 맛있다.

양념장의 맛이 정말 중요한데 할머니가 운영할때에 비해서 양념장 자체도 맛이 없어졌다.
무슨 생각이지? 그냥 싸면 땡? 친절하면 땡? 채소 몇가지 더 넣으면 더 맛있는게 되나?
맛있는게 최우선이 되어야하는데... 이게 무슨 짓인지

그 할머니가 오랜시간 정말 단순한 재료지만 맛집으로 만들어놨는데 이어받아서 인수하고 몇달사이에 자기가 더 잘난것마냥 맛을 완전히 배려놨다.

채소 더 넣어서 영양가는 좀 더 있겠지. 그런데 영양있게 하려면 맛도 과거보다 못하지 않은 수준으로 밸런스를 잡고 유지는 시켰어야지.

예전 할머니가 운영하시던 그맛이라면 오천원, 육천원이어도 곱빼기로 사먹는다.

그런데 채소 몇가지 더 넣고 양념장 맛은 제대로 신경 안쓰는 집에서 대충 만드는 것보다 못한 맛으로 가격만 올려놨으니 앞으로는 그냥 맛 때문이 아니라 싸면 아무거나 입에 쳐넣는 뜨내기들이나 남게 될것이다.

그리고 그 뜨내기들은 근처에 더 싸게 한끼 때울 곳이 생기면 그곳으로 바로 옮겨가겠지.
진짜 너무 한심하다.

이곳은 과거에 유명했던 곳과는 완전히 다른 맛의 가게이니 이곳에 갈바엔 근처 김밥천국 가는 것을 추천한다. 돈 천원 더주고 김밥천국 비빕밥 사먹어라. 그게 이 가게 마인드 대로면 채소가 더 들어가서 더 영양가 있으면서 실제로 맛도 훨씬 나으니까...

예전 할머니가 하시던때 먹어본 사람이 지금 것이 맛있다고 하는 사람이 있다면 그사람은 그냥 미각이 뭘 먹어도 맛있는 사람이고... 양념장부터가 배렸는데 무슨...

인수해서 간판, 메뉴 그대로 유지하면서 손님들도 이어받았는데 맛과 가격은 바꿔놨다.
이게 현실이고 팩트다.",1
이조식당,"이런 착한가게는 영원해야 합니다. 깔끔한 맛, 착한 가격, 친절까지^^",5
이조식당,오천원의 행복,5
이조식당,가성비 좋은 혜자 맛집,5
이조식당,사장님이 정이 많으시고 따뜻하세요. 잔치국수는 국물이 깊고 맛있습니다. 사장님과 단골손님들의 정감 가는 대화에 기분도 좋아졌어요.,5
이조식당,"사장님의 따뜻함에 반하고, 비빔밥의 맛에 반하고
간이 짜지도 싱겁지도 않게 삼삼히 먹을 수 있고, 안에 채소가 많이 들어서 건강을 생각하는 부분에서도 매우 만족했습니다 ^^

이쪽이 지대가 넓어서 걸을 일이 많으실텐데, 든든히 먹고 활동 할 수 있었어요~

외국인들 오면 이게 한국의 정! 이다, 비빔밥이다 하고 소개해 주고 싶네요~

5천원 맛있음!
양 많음!
정!",5
이조식당,"맛과 가격, 친절함까지 정말 훌륭한 식당이라고 생각합니다.",5
이조식당,"믿기지 않는 가격에 믿기지 않는 양
너무 배불러영ㅎㅎㅎ
사장님도 짱 친절하세요",5
이조식당,"친절 왕
가성비최고",5
이조식당,"6천원에 이정도 양과 맛이라니... 당황스러울 정도네요
사장님도 너무 친절하시고 잘 먹고 갑니다",5
이조식당,맛있고 가성비 좋아요. 사장님도 친절하세요. 잔치국수랑 콩나물밥 말고도 콩국수랑 보리밥도 맛있습니다.,5
