가게이름,리뷰내용,리뷰별점
가메골손왕만두 남대문본점,"번잡함. 손님을 마구잡이로 윗층으로 올려보내서 먼저 온 사람이 먼저 자리에 앉을 수 있는 식당이 아님. 웨이팅도 많은데 나보다 20분 늦게 온 손님이 나보다 먼저 테이블에 앉아있는 것을 발견할 수 있음. 시스템 개선이 좀 필요해보임. 일층은 거의 만두 제조 공장으로 보여서 외관만 보면 안쪽에 식당이 있는지 모르게 생겼음. 그리고 만두 만드는 쪽으로 계속 손님들 지나가는 구조라 위생이 좀 염려됨.

손칼국수는 멸치육수에 면 넣어져서 나옴. 새우만두는 새우의 존재를 느낄 수 없음. 피랑 속이 잘 안어울리는 듯. 주변 물가 대비 싼 맛에 먹을만은 하지만 가성비 있다고 생각되지는 않음. 왜냐면 저 잔치국수같은 칼국수 6천원임. 평점 높은게 알바쓴게 아닌가 싶은 의심까지 듬.",1
가메골손왕만두 남대문본점,취향저격,4
가메골손왕만두 남대문본점,그냥저냥,3
가메골손왕만두 남대문본점,남대문가면 왠만해선 가메골만두는 포장해옵니다. 고기도 맛있지만 제 입맛엔 김치가 좀 더 맛있어요. 몇년전보다 만두피가 두꺼워져서 별하나 뺍니다.,4
가메골손왕만두 남대문본점,"매년 겨울이면 찾아가서 포장해오는 왕만두. 작년부터 피가 점점 두꺼워진다고 느꼈는데, 올해는 영 두꺼워져서 못쓰겄다.. 김치만두 소는 설탕을 어찌나 쳤는지 달아서 맛을 해친다..ㅠ 만두가 아니라 그냥 달디단 소를 저가 꽃빵에 싸먹는 느낌으로 바뀌었다.
피를 두껍게 하고 소를 자극적으로 조리해서 원가조절 하는 것 같은데.. 원래 10개 8천원이었는데 지금은 9천원. 가격도 올렸으면서 왜 맛탱이가... 흠; 어떤 마계의 술수가 있어서 본래 맛난 만두에서 편의점 싸구려 찐빵 느낌으로 바뀌었는지 의아하다. &lsquo;이걸 사먹다니..&rsquo;로의 임계점을 이미 넘어버렸다.
개인적으로는 맛없는 것 사먹는데 쓰는 돈은 걍 쓰레기통에 버리는 것과 다름없다고 생각하기 때문에, 가격은 저렴해도 이번 겨울을 끝으로 다시는 가지 않을 것 같다. 비싸도 맛있는걸 먹는게 훨씬 낫겠다는 생각이기 때문.",2
가메골손왕만두 남대문본점,만두 안에 당면이 쫄깃하구려 ㅎ,4
가메골손왕만두 남대문본점,"예전엔 육즙 팡팡에 맛있었는 데 만두피 너무 두꺼워지고, 만두소는 적다. 예전처럼 줄서서 먹을 게 아니다. 벌레도ㅜㅜㅜ....ㅜ",2
가메골손왕만두 남대문본점,고기만두 이걸 굳이 사먹으러 찾아간 내 자신이 한심하다. 그냥 동네 만두맛임,3
가메골손왕만두 남대문본점,만두 핵존맛,5
가메골손왕만두 남대문본점,역시 맛있음,5
가메골손왕만두 남대문본점,간만에 줄서서 먹어봐는데 만두인지 찐빵인지 구분도 안가게 만들고 예전보다 손님이 줄도 안서있다. 만두피가 예전엔 이만큼 안두꺼웠는데 많이 두꺼워져서 다른집 찐빵이랑 같은것 같다. 만두속의 맛이 두꺼운 만두피에 가려져서 맛이 안난다.,3
가메골손왕만두 남대문본점,고깃속이 달달하면서 아주 살짝 육즙맛도 나는? 맛있다,5
가메골손왕만두 남대문본점,"오래된 노포 갬성 너무 좋다
강경 김치만두파인데 고기만두도 인정
반반주문 가능하다고 하시니 둘다 맛보세요
칼국수는 멸치육수로 시원하고 몸이 뜨끈해지는 우동스러운 맛",5
가메골손왕만두 남대문본점,고기만두와 찐빵을 포장했습니다. 벌써 10년이 넘게도 다닌 만두가게인데 처음같이 맛있습니다.  토요일오후라 ~15분쯤 줄서 기다렸습니다.,5
가메골손왕만두 남대문본점,맛있어서 남대문시장 갈 때마다 생각나는 곳,5
가메골손왕만두 남대문본점,"만두 그냥 좋아하지도 않고 싫어하지도 않아서(굳이 안사먹는...) 지나가기만 했는데,
누가 사줘서 먹어봤습니다. 고기, 김치 둘 다 정말 맛있더군요. 근데 김치가 더 맛있음.
찐빵같이 생겼어요 ㅋㅋㅋ 오히려 좋아...
솔직히 아는 맛인데, 맛있는 '아는 맛'? 또 먹으려고요.",5
가메골손왕만두 남대문본점,맛이나 가격이나 만두 매니아로서 인정,5
가메골손왕만두 남대문본점,"남대문에 만두 먹으러 가게 만든 집
만두피 두꺼운걸 싫어하는데 알고보니 맛있는걸 먹어보지 못해서 라는걸 느낀, 만두피 맛을 알게 만들어준 집 남대문처럼 계속 그자리에 있어줬으면",5
가메골손왕만두 남대문본점,만두를 엄청나게 좋아하는 정도가 아닌데도 김치만두 첫입 먹고 놀랐습니다! 정말 맛있네요~~ 고기만두도 맛있는데 김치만두가 쬐끔 더 맛있는거 같아요 ㅎㅎ 이모님들도 친절하십니다 ^^,5
가메골손왕만두 남대문본점,위생좀신경써주세요 맛은있어요.,2
가메골손왕만두 남대문본점,"간에 세지않아 좋아요 
특별한 맛보다 친근한 맛이네요",3
가메골손왕만두 남대문본점,만두 맛집입니다~~,5
가메골손왕만두 남대문본점,"만두 맛있음, 칼국수 그닥
위생 그닥",4
가메골손왕만두 남대문본점,만두피가 얇아서 맛이 좋아요,5
가메골손왕만두 남대문본점,인생 만두집 입니다. 고기만두랑 김치만두는 여기만큼 맛있는 곳을 못봤어요 :D,5
가메골손왕만두 남대문본점,"남대문 가면 들러서 일단 배부터 채우는 집인데 이층에서 칼국수랑 만두 먹기는 좋은데 웨이팅은 좀 이해하기 힘들어요.
아이들은 새우만두 갈비만두 좋아하더군요.
포장손님 사이로 들어가서 드실 수 있어요.
만두 빗는 광경은 보너스",3
가메골손왕만두 남대문본점,"만두피가 특별히 맛있음
밖에 포장줄 김.
안쪽으로 들어와 먹으면 안기다림 ^^
남대문 가면 꼭 들러야 함",5
가메골손왕만두 남대문본점,"왕만두 4개 4500원. 가성비 좋은 것 같습니다. 이때까지 먹은 김치만두는 그냥 만두에 김치를 넣었구나 싶은 단순한 맛이었는데, 여기 김치만두는 맛있는 김치볶음요리를 만두피로 감싼 것 같습니다.",5
가메골손왕만두 남대문본점,사람들이 엄청 많았는데 맛은 특별함을 모르겠네요.,4
가메골손왕만두 남대문본점,역시 남대문에가면 가메골!!!!! 포장 빼먹지않고 합니당 ㅎㅎ,5
가메골손왕만두 남대문본점,주인이 갑,1
가메골손왕만두 남대문본점,음.. ㅋㅋㅋ 줄은길어요,2
가메골손왕만두 남대문본점,항상  너무너무 맛있게 먹었어요  ~❤  요번주도   또  친구들  하고  만두 먹으러  가려고요  항상  감사합니다  ~^^,3
가메골손왕만두 남대문본점,"남대문 방문시 늘 애용하지만 ~직원들 불친절이 항상 눈에거슬립니다
정말불친절해요. 고기만두",2
가메골손왕만두 남대문본점,매년 맛있게 먹고 있어요,5
가메골손왕만두 남대문본점,솔직히 기대 안했는데 맛있었음,5
가메골손왕만두 남대문본점,"지극히 평범. 기다리면 시간낭비, 포장하면 힘낭비.  국거리용 만두는 기계만두임.",2
가메골손왕만두 남대문본점,쓰레기 같은 응대에 분노가 쌓이네요.,1
가메골손왕만두 남대문본점,맛있어요,5
가메골손왕만두 남대문본점,회사 근처라서 갔다가 먹느라고 대화를 못 함 ㅎㅎ,5
가메골손왕만두 남대문본점,만두는 맛있습니다 칼국수는 면도 쫄깃하니 괜찮은데 국물연구가 너무 필요해보여요.. ..ㅜ와이프랑 칼국수는 반먹고 남기게 되더라구요 사장님께 도움이 되었으면하는 마음에 남깁니다.직원분들 친절해요^^,3
가메골손왕만두 남대문본점,10개9천원.. 왕만두라지만 가격에비해서 사이즈가 아쉽..직원도 불친절.. 지인주려고 2박스 사고 비닐2개 달라니 장바구니 갖고다니라는둥 다 돈이라는둥.직원둘이 계속 잔소리.... 그럼 봉투값 따루 받던가요.. 봉투로 싫은소리 들으니 기분잡침... 김치만 달래도 고기랑 섞어주는건 뭔지... 받고 꼭 확인하세요..,2
가메골손왕만두 남대문본점,인생김치만두..,5
